image_path,canny_path,skeleton_path,calligrapher,script,character,calligrapher_id,script_id,character_id
images/春秋僖公石经/篆/楚/317289.png,canny/春秋僖公石经/篆/楚/317289.png,skeleton/春秋僖公石经/篆/楚/317289.png,春秋僖公石经,篆,楚,1008,7,3527
images/洪武正韵/印/緼/233747.png,canny/洪武正韵/印/緼/233747.png,skeleton/洪武正韵/印/緼/233747.png,洪武正韵,印,緼,1249,2,5257
images/包山/简/於/108980.png,canny/包山/简/於/108980.png,skeleton/包山/简/於/108980.png,包山,简,於,553,6,3165
images/天星观/简/自/308049.png,canny/天星观/简/自/308049.png,skeleton/天星观/简/自/308049.png,天星观,简,自,717,6,5590
images/九店/简/癸/304904.png,canny/九店/简/癸/304904.png,skeleton/九店/简/癸/304904.png,九店,简,癸,414,6,4613
images/新蔡葛陵/简/尚/297359.png,canny/新蔡葛陵/简/尚/297359.png,skeleton/新蔡葛陵/简/尚/297359.png,新蔡葛陵,简,尚,986,6,2240
images/宾组/甲骨/玨/181142.png,canny/宾组/甲骨/玨/181142.png,skeleton/宾组/甲骨/玨/181142.png,宾组,甲骨,玨,788,4,4369
images/沈尹默/行/寄/28419.png,canny/沈尹默/行/寄/28419.png,skeleton/沈尹默/行/寄/28419.png,沈尹默,行,寄,1227,9,2177
images/开成石经/石/鎮/168903.png,canny/开成石经/石/鎮/168903.png,skeleton/开成石经/石/鎮/168903.png,开成石经,石,鎮,852,5,7026
images/洪武正韵/印/悾/229894.png,canny/洪武正韵/印/悾/229894.png,skeleton/洪武正韵/印/悾/229894.png,洪武正韵,印,悾,1249,2,2677
images/赵佶/楷/豫/50509.png,canny/赵佶/楷/豫/50509.png,skeleton/赵佶/楷/豫/50509.png,赵佶,楷,豫,1666,3,6404
images/高翔/六体/梅/348116.png,canny/高翔/六体/梅/348116.png,skeleton/高翔/六体/梅/348116.png,高翔,六体,梅,1958,0,3466
images/上博/简/成/299201.png,canny/上博/简/成/299201.png,skeleton/上博/简/成/299201.png,上博,简,成,399,6,2809
images/开成石经/石/曰/162326.png,canny/开成石经/石/曰/162326.png,skeleton/开成石经/石/曰/162326.png,开成石经,石,曰,852,5,3297
images/潘伯鹰/草/矣/29680.png,canny/潘伯鹰/草/矣/29680.png,skeleton/潘伯鹰/草/矣/29680.png,潘伯鹰,草,矣,1264,8,4748
images/西周中期/金/從/141887.png,canny/西周中期/金/從/141887.png,skeleton/西周中期/金/從/141887.png,西周中期,金,從,1610,10,2562
images/西周晚期/金/敢/143150.png,canny/西周晚期/金/敢/143150.png,skeleton/西周晚期/金/敢/143150.png,西周晚期,金,敢,1614,10,3120
images/隶释隶续/篆/卲/194104.png,canny/隶释隶续/篆/卲/194104.png,skeleton/隶释隶续/篆/卲/194104.png,隶释隶续,篆,卲,1888,7,1485
images/单晓天/六体/什/69403.png,canny/单晓天/六体/什/69403.png,skeleton/单晓天/六体/什/69403.png,单晓天,六体,什,562,0,965
images/吴昌硕/行/蔬/05295.png,canny/吴昌硕/行/蔬/05295.png,skeleton/吴昌硕/行/蔬/05295.png,吴昌硕,行,蔬,650,9,5848
images/张瑞图/六体/盆/74344.png,canny/张瑞图/六体/盆/74344.png,skeleton/张瑞图/六体/盆/74344.png,张瑞图,六体,盆,886,0,4639
images/吴大澂/篆/虚/04094.png,canny/吴大澂/篆/虚/04094.png,skeleton/吴大澂/篆/虚/04094.png,吴大澂,篆,虚,638,7,5933
images/黄士陵/六体/莠/91937.png,canny/黄士陵/六体/莠/91937.png,skeleton/黄士陵/六体/莠/91937.png,黄士陵,六体,莠,1983,0,5747
images/包山/简/東/301830.png,canny/包山/简/東/301830.png,skeleton/包山/简/東/301830.png,包山,简,東,553,6,3366
images/广韵/印/閒/221217.png,canny/广韵/印/閒/221217.png,skeleton/广韵/印/閒/221217.png,广韵,印,閒,831,2,7088
images/康熙字典/印/湩/269687.png,canny/康熙字典/印/湩/269687.png,skeleton/康熙字典/印/湩/269687.png,康熙字典,印,湩,842,2,3985
images/天星观/简/咎/103495.png,canny/天星观/简/咎/103495.png,skeleton/天星观/简/咎/103495.png,天星观,简,咎,717,6,1619
images/王羲之/行/流/34410.png,canny/王羲之/行/流/34410.png,skeleton/王羲之/行/流/34410.png,王羲之,行,流,1353,9,3863
images/春秋晚期/金/遊/324280.png,canny/春秋晚期/金/遊/324280.png,skeleton/春秋晚期/金/遊/324280.png,春秋晚期,金,遊,1011,10,6749
images/集篆古文韵海/篆/楍/204929.png,canny/集篆古文韵海/篆/楍/204929.png,skeleton/集篆古文韵海/篆/楍/204929.png,集篆古文韵海,篆,楍,1897,7,3522
images/黄组/甲骨/東/179240.png,canny/黄组/甲骨/東/179240.png,skeleton/黄组/甲骨/東/179240.png,黄组,甲骨,東,1995,4,3366
images/西周早期/金/彞/141474.png,canny/西周早期/金/彞/141474.png,skeleton/西周早期/金/彞/141474.png,西周早期,金,彞,1612,10,2523
images/乾隆/六体/髫/67930.png,canny/乾隆/六体/髫/67930.png,skeleton/乾隆/六体/髫/67930.png,乾隆,六体,髫,415,0,7548
images/广韵/印/麀/223818.png,canny/广韵/印/麀/223818.png,skeleton/广韵/印/麀/223818.png,广韵,印,麀,831,2,7676
images/翁闿运/六体/泥/83947.png,canny/翁闿运/六体/泥/83947.png,skeleton/翁闿运/六体/泥/83947.png,翁闿运,六体,泥,1495,0,3821
