calligrapher_id,character,std_glyph_key,calligrapher,character_id,glyph_id,script_id,script,image_path
130,㐭,kai/U+0342D,古文四声韵,2,2,0,楷,final_images/20.png
0,㑺,kai/U+0347A,others,7,7,0,楷,final_images/73.png
0,㑺,kai/U+0347A,others,7,7,0,楷,final_images/74.png
0,㑺,kai/U+0347A,others,7,7,0,楷,final_images/75.png
39,㑺,kai/U+0347A,于右任,7,7,0,楷,final_images/76.png
925,㔲,kai/U+03532,集古文韵上声韵第三,10,10,0,楷,final_images/107.png
130,㕚,kai/U+0355A,古文四声韵,12,12,0,楷,final_images/129.png
727,㗛,kai/U+035DB,蒋善进,18,18,0,楷,final_images/188.png
892,㗛,kai/U+035DB,陆柬之,18,18,0,楷,final_images/189.png
377,㗛,kai/U+035DB,智永,18,18,0,楷,final_images/190.png
130,㚢,kai/U+036A2,古文四声韵,21,21,0,楷,final_images/261.png
925,㜽,kai/U+0373D,集古文韵上声韵第三,23,23,0,楷,final_images/305.png
925,㜽,kai/U+0373D,集古文韵上声韵第三,23,23,0,楷,final_images/306.png
130,㝐,kai/U+03750,古文四声韵,26,26,0,楷,final_images/352.png
339,㝡,kai/U+03761,徐浩,27,27,0,楷,final_images/361.png
597,㝡,kai/U+03761,王知敬,27,27,0,楷,final_images/362.png
703,㝡,kai/U+03761,苏轼,27,27,0,楷,final_images/363.png
568,㝡,kai/U+03761,王宠,27,27,0,楷,final_images/364.png
377,㝡,kai/U+03761,智永,27,27,0,楷,final_images/365.png
795,㝱,kai/U+03771,赵之谦,29,29,0,楷,final_images/409.png
0,㠯,kai/U+0382F,others,34,34,0,楷,final_images/576.png
130,㠯,kai/U+0382F,古文四声韵,34,34,0,楷,final_images/577.png
130,㢸,kai/U+038B8,古文四声韵,42,42,0,楷,final_images/1124.png
130,㣈,kai/U+038C8,古文四声韵,44,44,0,楷,final_images/1143.png
130,㣽,kai/U+038FD,古文四声韵,49,49,0,楷,final_images/1193.png
130,㤅,kai/U+03905,古文四声韵,50,50,0,楷,final_images/1204.png
130,㦵,kai/U+039B5,古文四声韵,53,53,0,楷,final_images/1261.png
130,㫗,kai/U+03AD7,古文四声韵,62,62,0,楷,final_images/1351.png
925,㫗,kai/U+03AD7,集古文韵上声韵第三,62,62,0,楷,final_images/1352.png
130,㫳,kai/U+03AF3,古文四声韵,63,63,0,楷,final_images/1361.png
130,㮤,kai/U+03BA4,古文四声韵,65,65,0,楷,final_images/1431.png
130,㯟,kai/U+03BDF,古文四声韵,66,66,0,楷,final_images/1438.png
760,㱕,kai/U+03C55,褚遂良,71,71,0,楷,final_images/1565.png
672,㱕,kai/U+03C55,米芾,71,71,0,楷,final_images/1566.png
130,㸒,kai/U+03E12,古文四声韵,77,77,0,楷,final_images/1658.png
130,㸒,kai/U+03E12,古文四声韵,77,77,0,楷,final_images/1659.png
130,㺺,kai/U+03EBA,古文四声韵,80,80,0,楷,final_images/1688.png
130,㺺,kai/U+03EBA,古文四声韵,80,80,0,楷,final_images/1689.png
130,㼱,kai/U+03F31,古文四声韵,82,82,0,楷,final_images/1701.png
130,䇓,kai/U+041D3,古文四声韵,95,95,0,楷,final_images/1835.png
130,䇓,kai/U+041D3,古文四声韵,95,95,0,楷,final_images/1836.png
130,䇓,kai/U+041D3,古文四声韵,95,95,0,楷,final_images/1837.png
179,䊤,kai/U+042A4,吴彩鸾,100,100,0,楷,final_images/1888.png
130,䑑,kai/U+04451,古文四声韵,116,116,0,楷,final_images/2121.png
130,䝤,kai/U+04764,古文四声韵,122,122,0,楷,final_images/2230.png
925,䝤,kai/U+04764,集古文韵上声韵第三,122,122,0,楷,final_images/2231.png
742,䟽,kai/U+047FD,薛稷,126,126,0,楷,final_images/2259.png
797,䟽,kai/U+047FD,赵佶,126,126,0,楷,final_images/2260.png
367,䟽,kai/U+047FD,方孝孺,126,126,0,楷,final_images/2261.png
568,䟽,kai/U+047FD,王宠,126,126,0,楷,final_images/2262.png
644,䟽,kai/U+047FD,祝允明,126,126,0,楷,final_images/2263.png
377,䟽,kai/U+047FD,智永,126,126,0,楷,final_images/2264.png
130,䥆,kai/U+04946,古文四声韵,135,135,0,楷,final_images/2449.png
130,䬥,kai/U+04B25,古文四声韵,144,144,0,楷,final_images/2539.png
130,䭇,kai/U+04B47,古文四声韵,145,145,0,楷,final_images/2548.png
130,䱷,kai/U+04C77,古文四声韵,150,150,0,楷,final_images/2670.png
0,一,kai/U+04E00,others,157,157,0,楷,final_images/2764.png
219,一,kai/U+04E00,多友鼎,157,157,0,楷,final_images/2765.png
358,一,kai/U+04E00,散氏盤,157,157,0,楷,final_images/2766.png
0,一,kai/U+04E00,others,157,157,0,楷,final_images/2767.png
663,一,kai/U+04E00,第四期甲骨文,157,157,0,楷,final_images/2768.png
0,一,kai/U+04E00,others,157,157,0,楷,final_images/2769.png
802,一,kai/U+04E00,赵宦光,157,157,0,楷,final_images/2770.png
0,一,kai/U+04E00,others,157,157,0,楷,final_images/2771.png
180,一,kai/U+04E00,吴昌硕,157,157,0,楷,final_images/2772.png
186,一,kai/U+04E00,吴让之,157,157,0,楷,final_images/2773.png
334,一,kai/U+04E00,徐三庚,157,157,0,楷,final_images/2774.png
447,一,kai/U+04E00,杨沂孙,157,157,0,楷,final_images/2775.png
827,一,kai/U+04E00,邓琰,157,157,0,楷,final_images/2776.png
988,一,kai/U+04E00,黄士陵,157,157,0,楷,final_images/2777.png
599,一,kai/U+04E00,王禔,157,157,0,楷,final_images/2778.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3104.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3105.png
413,一,li/U+04E00,李权,157,28261,4,隶,final_images/3106.png
672,一,li/U+04E00,米芾,157,28261,4,隶,final_images/3107.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3108.png
471,一,li/U+04E00,楊陽神道殘石,157,28261,4,隶,final_images/3109.png
792,一,li/U+04E00,贾充妻,157,28261,4,隶,final_images/3110.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3111.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3112.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3113.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3114.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3115.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3116.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3117.png
620,一,li/U+04E00,甘肅侯官簡牘,157,28261,4,隶,final_images/3118.png
958,一,li/U+04E00,馬王堆帛書,157,28261,4,隶,final_images/3119.png
85,一,li/U+04E00,冯登府,157,28261,4,隶,final_images/3120.png
182,一,li/U+04E00,吴熙载,157,28261,4,隶,final_images/3121.png
639,一,li/U+04E00,石涛,157,28261,4,隶,final_images/3122.png
795,一,li/U+04E00,赵之谦,157,28261,4,隶,final_images/3123.png
828,一,li/U+04E00,邓石如,157,28261,4,隶,final_images/3124.png
844,一,li/U+04E00,郑簠,157,28261,4,隶,final_images/3125.png
855,一,li/U+04E00,金农,157,28261,4,隶,final_images/3126.png
873,一,li/U+04E00,钱澧,157,28261,4,隶,final_images/3127.png
974,一,li/U+04E00,高翔,157,28261,4,隶,final_images/3128.png
0,一,li/U+04E00,others,157,28261,4,隶,final_images/3129.png
55,丁,kai/U+04E01,佶,158,158,0,楷,final_images/3141.png
642,丁,kai/U+04E01,碑刻,158,158,0,楷,final_images/3142.png
642,丁,li/U+04E01,碑刻,158,28262,4,隶,final_images/3276.png
642,丁,li/U+04E01,碑刻,158,28262,4,隶,final_images/3277.png
801,丁,li/U+04E01,赵孟𫖯,158,28262,4,隶,final_images/3278.png
940,丁,li/U+04E01,韩择木,158,28262,4,隶,final_images/3279.png
0,丁,li/U+04E01,others,158,28262,4,隶,final_images/3280.png
0,丁,li/U+04E01,others,158,28262,4,隶,final_images/3281.png
0,丁,li/U+04E01,others,158,28262,4,隶,final_images/3282.png
0,丁,li/U+04E01,others,158,28262,4,隶,final_images/3283.png
0,丁,li/U+04E01,others,158,28262,4,隶,final_images/3284.png
589,丁,li/U+04E01,王澍,158,28262,4,隶,final_images/3285.png
639,丁,li/U+04E01,石涛,158,28262,4,隶,final_images/3286.png
920,丁,li/U+04E01,陈鸿寿,158,28262,4,隶,final_images/3287.png
631,丁,li/U+04E01,睡虎地简牍,158,28262,4,隶,final_images/3288.png
370,七,kai/U+04E03,旭,160,160,0,楷,final_images/3332.png
642,七,kai/U+04E03,碑刻,160,160,0,楷,final_images/3333.png
801,七,kai/U+04E03,赵孟𫖯,160,160,0,楷,final_images/3334.png
299,七,kai/U+04E03,张从申,160,160,0,楷,final_images/3335.png
308,七,kai/U+04E03,张旭,160,160,0,楷,final_images/3336.png
461,七,kai/U+04E03,柳公权,160,160,0,楷,final_images/3337.png
479,七,kai/U+04E03,欧阳询,160,160,0,楷,final_images/3338.png
480,七,kai/U+04E03,欧阳通,160,160,0,楷,final_images/3339.png
642,七,li/U+04E03,碑刻,160,28264,4,隶,final_images/3443.png
642,七,li/U+04E03,碑刻,160,28264,4,隶,final_images/3444.png
642,七,li/U+04E03,碑刻,160,28264,4,隶,final_images/3445.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3446.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3447.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3448.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3449.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3450.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3451.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3452.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3453.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3454.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3455.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3456.png
140,七,li/U+04E03,史晨前後碑(趙之謙雙鈎本),160,28264,4,隶,final_images/3457.png
795,七,li/U+04E03,赵之谦,160,28264,4,隶,final_images/3458.png
855,七,li/U+04E03,金农,160,28264,4,隶,final_images/3459.png
0,七,li/U+04E03,others,160,28264,4,隶,final_images/3460.png
15,万,kai/U+04E07,万,161,161,0,楷,final_images/3478.png
642,万,kai/U+04E07,碑刻,161,161,0,楷,final_images/3479.png
813,万,kai/U+04E07,轼,161,161,0,楷,final_images/3480.png
829,万,kai/U+04E07,邕,161,161,0,楷,final_images/3481.png
0,万,kai/U+04E07,others,161,161,0,楷,final_images/3482.png
0,万,kai/U+04E07,others,161,161,0,楷,final_images/3483.png
716,万,kai/U+04E07,萧显庆,161,161,0,楷,final_images/3484.png
424,万,kai/U+04E07,李邕,161,161,0,楷,final_images/3485.png
461,万,kai/U+04E07,柳公权,161,161,0,楷,final_images/3486.png
480,万,kai/U+04E07,欧阳通,161,161,0,楷,final_images/3487.png
760,万,kai/U+04E07,褚遂良,161,161,0,楷,final_images/3488.png
760,万,kai/U+04E07,褚遂良,161,161,0,楷,final_images/3489.png
703,万,kai/U+04E07,苏轼,161,161,0,楷,final_images/3490.png
642,万,li/U+04E07,碑刻,161,28265,4,隶,final_images/3498.png
642,万,li/U+04E07,碑刻,161,28265,4,隶,final_images/3499.png
642,万,li/U+04E07,碑刻,161,28265,4,隶,final_images/3500.png
642,万,li/U+04E07,碑刻,161,28265,4,隶,final_images/3501.png
0,万,li/U+04E07,others,161,28265,4,隶,final_images/3502.png
0,万,li/U+04E07,others,161,28265,4,隶,final_images/3503.png
317,万,li/U+04E07,张若芬,161,28265,4,隶,final_images/3504.png
0,万,li/U+04E07,others,161,28265,4,隶,final_images/3505.png
761,丈,kai/U+04E08,襄,162,162,0,楷,final_images/3523.png
829,丈,kai/U+04E08,邕,162,162,0,楷,final_images/3524.png
801,丈,kai/U+04E08,赵孟𫖯,162,162,0,楷,final_images/3525.png
424,丈,kai/U+04E08,李邕,162,162,0,楷,final_images/3526.png
479,丈,kai/U+04E08,欧阳询,162,162,0,楷,final_images/3527.png
746,丈,kai/U+04E08,虞世南,162,162,0,楷,final_images/3528.png
672,丈,kai/U+04E08,米芾,162,162,0,楷,final_images/3529.png
0,三,kai/U+04E09,others,163,163,0,楷,final_images/3587.png
0,三,kai/U+04E09,others,163,163,0,楷,final_images/3588.png
0,三,kai/U+04E09,others,163,163,0,楷,final_images/3589.png
339,三,kai/U+04E09,徐浩,163,163,0,楷,final_images/3590.png
345,三,kai/U+04E09,怀仁,163,163,0,楷,final_images/3591.png
461,三,kai/U+04E09,柳公权,163,163,0,楷,final_images/3592.png
479,三,kai/U+04E09,欧阳询,163,163,0,楷,final_images/3593.png
479,三,kai/U+04E09,欧阳询,163,163,0,楷,final_images/3594.png
480,三,kai/U+04E09,欧阳通,163,163,0,楷,final_images/3595.png
760,三,kai/U+04E09,褚遂良,163,163,0,楷,final_images/3596.png
956,三,kai/U+04E09,颜真卿,163,163,0,楷,final_images/3597.png
795,三,kai/U+04E09,赵之谦,163,163,0,楷,final_images/3598.png
0,三,li/U+04E09,others,163,28267,4,隶,final_images/3777.png
0,三,li/U+04E09,others,163,28267,4,隶,final_images/3778.png
0,三,li/U+04E09,others,163,28267,4,隶,final_images/3779.png
0,三,li/U+04E09,others,163,28267,4,隶,final_images/3780.png
0,三,li/U+04E09,others,163,28267,4,隶,final_images/3781.png
0,三,li/U+04E09,others,163,28267,4,隶,final_images/3782.png
0,三,li/U+04E09,others,163,28267,4,隶,final_images/3783.png
0,三,li/U+04E09,others,163,28267,4,隶,final_images/3784.png
0,三,li/U+04E09,others,163,28267,4,隶,final_images/3785.png
