image_path,calligrapher,script,character,calligrapher_id,script_id,character_id,glyph_id
final_imgs_256/3073.png,颜真卿,行,一,956,3,157,21235
final_imgs_256/3074.png,米芾,行,一,672,3,157,21235
final_imgs_256/3075.png,米芾,行,一,672,3,157,21235
final_imgs_256/3076.png,米芾,行,一,672,3,157,21235
final_imgs_256/3077.png,苏轼,行,一,703,3,157,21235
final_imgs_256/3080.png,文徵明,行,一,365,3,157,21235
final_imgs_256/3081.png,文徵明,行,一,365,3,157,21235
final_imgs_256/3082.png,文徵明,行,一,365,3,157,21235
final_imgs_256/3083.png,文徵明,行,一,365,3,157,21235
final_imgs_256/3084.png,王羲之,行,一,601,3,157,21235
final_imgs_256/3085.png,王羲之,行,一,601,3,157,21235
final_imgs_256/3086.png,王羲之,行,一,601,3,157,21235
final_imgs_256/3087.png,王羲之,行,一,601,3,157,21235
final_imgs_256/3088.png,王羲之,行,一,601,3,157,21235
final_imgs_256/3121.png,吴熙载,隶,一,182,4,157,28261
final_imgs_256/3122.png,石涛,隶,一,639,4,157,28261
final_imgs_256/3123.png,赵之谦,隶,一,795,4,157,28261
final_imgs_256/3124.png,邓石如,隶,一,828,4,157,28261
final_imgs_256/3125.png,郑簠,隶,一,844,4,157,28261
final_imgs_256/3126.png,金农,隶,一,855,4,157,28261
final_imgs_256/3127.png,钱澧,隶,一,873,4,157,28261
final_imgs_256/3128.png,高翔,隶,一,974,4,157,28261
final_imgs_256/3229.png,孙过庭,行,丁,235,3,158,21236
final_imgs_256/3230.png,孙过庭,行,丁,235,3,158,21236
final_imgs_256/3231.png,王铎,行,丁,612,3,158,21236
final_imgs_256/3232.png,郑燮,行,丁,843,3,158,21236
final_imgs_256/3233.png,智永,行,丁,377,3,158,21236
final_imgs_256/3278.png,赵孟𫖯,隶,丁,801,4,158,28262
final_imgs_256/3279.png,韩择木,隶,丁,940,4,158,28262
final_imgs_256/3285.png,王澍,隶,丁,589,4,158,28262
final_imgs_256/3286.png,石涛,隶,丁,639,4,158,28262
final_imgs_256/3287.png,陈鸿寿,隶,丁,920,4,158,28262
final_imgs_256/3288.png,睡虎地简牍,隶,丁,631,4,158,28262
final_imgs_256/3334.png,赵孟𫖯,楷,七,801,0,160,160
final_imgs_256/3336.png,张旭,楷,七,308,0,160,160
final_imgs_256/3337.png,柳公权,楷,七,461,0,160,160
final_imgs_256/3338.png,欧阳询,楷,七,479,0,160,160
final_imgs_256/3339.png,欧阳通,楷,七,480,0,160,160
final_imgs_256/3417.png,赵孟𫖯,行,七,801,3,160,21238
final_imgs_256/3418.png,赵孟𫖯,行,七,801,3,160,21238
final_imgs_256/3419.png,孙过庭,行,七,235,3,160,21238
final_imgs_256/3421.png,释怀仁集王羲之,行,七,853,3,160,21238
final_imgs_256/3422.png,释怀仁集王羲之,行,七,853,3,160,21238
final_imgs_256/3423.png,黄庭坚,行,七,992,3,160,21238
final_imgs_256/3424.png,黄庭坚,行,七,992,3,160,21238
final_imgs_256/3425.png,王羲之,行,七,601,3,160,21238
final_imgs_256/3426.png,王羲之,行,七,601,3,160,21238
final_imgs_256/3427.png,王羲之,行,七,601,3,160,21238
final_imgs_256/3428.png,王羲之,行,七,601,3,160,21238
final_imgs_256/3429.png,王羲之,行,七,601,3,160,21238
final_imgs_256/3430.png,索靖,行,七,674,3,160,21238
final_imgs_256/3458.png,赵之谦,隶,七,795,4,160,28264
final_imgs_256/3459.png,金农,隶,七,855,4,160,28264
final_imgs_256/3485.png,李邕,楷,万,424,0,161,161
final_imgs_256/3486.png,柳公权,楷,万,461,0,161,161
final_imgs_256/3487.png,欧阳通,楷,万,480,0,161,161
final_imgs_256/3488.png,褚遂良,楷,万,760,0,161,161
final_imgs_256/3489.png,褚遂良,楷,万,760,0,161,161
final_imgs_256/3490.png,苏轼,楷,万,703,0,161,161
final_imgs_256/3494.png,苏轼,行,万,703,3,161,21239
final_imgs_256/3495.png,王羲之,行,万,601,3,161,21239
final_imgs_256/3525.png,赵孟𫖯,楷,丈,801,0,162,162
final_imgs_256/3526.png,李邕,楷,丈,424,0,162,162
final_imgs_256/3527.png,欧阳询,楷,丈,479,0,162,162
final_imgs_256/3528.png,虞世南,楷,丈,746,0,162,162
final_imgs_256/3567.png,黄庭坚,行,丈,992,3,162,21240
final_imgs_256/3569.png,沈尹默,行,丈,517,3,162,21240
final_imgs_256/3592.png,柳公权,楷,三,461,0,163,163
final_imgs_256/3593.png,欧阳询,楷,三,479,0,163,163
final_imgs_256/3594.png,欧阳询,楷,三,479,0,163,163
final_imgs_256/3595.png,欧阳通,楷,三,480,0,163,163
final_imgs_256/3596.png,褚遂良,楷,三,760,0,163,163
final_imgs_256/3597.png,颜真卿,楷,三,956,0,163,163
final_imgs_256/3598.png,赵之谦,楷,三,795,0,163,163
final_imgs_256/3752.png,鲜于枢,行,三,983,3,163,21241
final_imgs_256/3754.png,李世民,行,三,401,3,163,21241
final_imgs_256/3756.png,李邕,行,三,424,3,163,21241
final_imgs_256/3757.png,李邕,行,三,424,3,163,21241
final_imgs_256/3758.png,褚遂良,行,三,760,3,163,21241
final_imgs_256/3759.png,陆柬之,行,三,892,3,163,21241
final_imgs_256/3760.png,米芾,行,三,672,3,163,21241
final_imgs_256/3761.png,米芾,行,三,672,3,163,21241
final_imgs_256/3762.png,黄庭坚,行,三,992,3,163,21241
final_imgs_256/3763.png,文徵明,行,三,365,3,163,21241
