filepath,character,script_name,script_id,calligrapher,calligrapher_id,character_id,glyph_id
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\㑺-楷-近-于右任-161426.png,㑺,楷,0,于右任,39,7,7
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\一-行-近-于右任-475.png,一,行,3,于右任,39,157,30157
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\一-行-近-于右任-476.png,一,行,3,于右任,39,157,30157
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\一-行-近-于右任-477.png,一,行,3,于右任,39,157,30157
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\丁-行-近-于右任-698.png,丁,行,3,于右任,39,158,30158
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\七-行-近-于右任-904.png,七,行,3,于右任,39,160,30160
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\且-行-近-于右任-3874.png,且,行,3,于右任,39,172,30172
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\並-行-近-于右任-4505.png,並,行,3,于右任,39,182,30182
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\之-行-近-于右任-6966.png,之,行,3,于右任,39,202,30202
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\九-行-近-于右任-8199.png,九,行,3,于右任,39,210,30210
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\于-楷-近-于右任-10528.png,于,楷,0,于右任,39,225,225
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\亡-行-近-于右任-12189.png,亡,行,3,于右任,39,238,30238
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\交-草-近-于右任-12383.png,交,草,2,于右任,39,240,20240
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\京-草-近-于右任-13097.png,京,草,2,于右任,39,245,20245
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\京-行-近-于右任-13084.png,京,行,3,于右任,39,245,30245
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\亭-草-近-于右任-13185.png,亭,草,2,于右任,39,246,20246
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\仙-草-近-于右任-15094.png,仙,草,2,于右任,39,271,20271
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\以-行-近-于右任-15754.png,以,行,3,于右任,39,278,30278
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\以-行-近-于右任-15755.png,以,行,3,于右任,39,278,30278
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\任-楷-近-于右任-16071.png,任,楷,0,于右任,39,284,284
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\任-草-近-于右任-16096.png,任,草,2,于右任,39,284,20284
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\任-行-近-于右任-16086.png,任,行,3,于右任,39,284,30284
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\伏-草-近-于右任-16359.png,伏,草,2,于右任,39,293,20293
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\伯-行-近-于右任-16718.png,伯,行,3,于右任,39,301,30301
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\何-草-近-于右任-17453.png,何,草,2,于右任,39,319,20319
G:\GitHub\DiT\MCCD\MCCD\MCCD-Calligrapher\calligrapher_dataset\于右任\使-草-近-于右任-18260.png,使,草,2,于右任,39,339,20339
