image_path,calligrapher,script,character,calligrapher_id,script_id,character_id,glyph_id,aug
data/imgs/final_imgs_fame_v8/76.png,于右任,楷,㑺,39,0,7,7,orig
data/imgs/final_imgs_fame_v8/77.png,王献之,行,㑺,591,3,7,21085,orig
data/imgs/final_imgs_fame_v8/190.png,智永,楷,㗛,377,0,18,18,orig
data/imgs/final_imgs_fame_v8/204.png,郑板桥,行,㗛,842,3,18,21096,orig
data/imgs/final_imgs_fame_v8/205.png,吴昌硕,行,㗛,180,3,18,21096,orig
data/imgs/final_imgs_fame_v8/363.png,苏轼,楷,㝡,703,0,27,27,orig
data/imgs/final_imgs_fame_v8/365.png,智永,楷,㝡,377,0,27,27,orig
data/imgs/final_imgs_fame_v8/377.png,颜真卿,行,㝡,956,3,27,21105,orig
data/imgs/final_imgs_fame_v8/409.png,赵之谦,楷,㝱,795,0,29,29,orig
data/imgs/final_imgs_fame_v8/1565.png,褚遂良,楷,㱕,760,0,71,71,orig
data/imgs/final_imgs_fame_v8/1566.png,米芾,楷,㱕,672,0,71,71,orig
data/imgs/final_imgs_fame_v8/1570.png,邓石如,隶,㱕,828,4,71,28175,orig
data/imgs/final_imgs_fame_v8/1731.png,王羲之,行,㿃,601,3,85,21163,orig
data/imgs/final_imgs_fame_v8/2259.png,薛稷,楷,䟽,742,0,126,126,orig
data/imgs/final_imgs_fame_v8/2260.png,赵佶,楷,䟽,797,0,126,126,orig
data/imgs/final_imgs_fame_v8/2263.png,祝允明,楷,䟽,644,0,126,126,orig
data/imgs/final_imgs_fame_v8/2264.png,智永,楷,䟽,377,0,126,126,orig
data/imgs/final_imgs_fame_v8/2267.png,文徵明,行,䟽,365,3,126,21204,orig
data/imgs/final_imgs_fame_v8/235132.png,文徵明,行,䟽,365,3,126,21204,orig
data/imgs/final_imgs_fame_v8/2269.png,王羲之,行,䟽,601,3,126,21204,orig
data/imgs/final_imgs_fame_v8/2272.png,王铎,行,䟽,612,3,126,21204,orig
data/imgs/final_imgs_fame_v8/3073.png,颜真卿,行,一,956,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3124.png,邓石如,隶,一,828,4,157,28261,orig
data/imgs/final_imgs_fame_v8/2772.png,吴昌硕,楷,一,180,0,157,157,orig
data/imgs/final_imgs_fame_v8/3090.png,吴昌硕,行,一,180,3,157,21235,orig
data/imgs/final_imgs_fame_v8/235324.png,李阳冰,楷,一,426,0,157,157,orig
data/imgs/final_imgs_fame_v8/3084.png,王羲之,行,一,601,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3085.png,王羲之,行,一,601,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3086.png,王羲之,行,一,601,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3087.png,王羲之,行,一,601,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3088.png,王羲之,行,一,601,3,157,21235,orig
data/imgs/final_imgs_fame_v8/235458.png,王羲之,行,一,601,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3074.png,米芾,行,一,672,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3075.png,米芾,行,一,672,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3076.png,米芾,行,一,672,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3107.png,米芾,隶,一,672,4,157,28261,orig
data/imgs/final_imgs_fame_v8/235454.png,米芾,行,一,672,3,157,21235,orig
data/imgs/final_imgs_fame_v8/235455.png,米芾,行,一,672,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3077.png,苏轼,行,一,703,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3078.png,赵构,行,一,806,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3079.png,赵构,行,一,806,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3080.png,文徵明,行,一,365,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3081.png,文徵明,行,一,365,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3082.png,文徵明,行,一,365,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3083.png,文徵明,行,一,365,3,157,21235,orig
data/imgs/final_imgs_fame_v8/235456.png,文徵明,行,一,365,3,157,21235,orig
data/imgs/final_imgs_fame_v8/235457.png,文徵明,行,一,365,3,157,21235,orig
data/imgs/final_imgs_fame_v8/3089.png,于右任,行,一,39,3,157,21235,orig
