filename,character,calligrapher,script_id,char_id
100329.png,日,说文解字,1,2359
100330.png,日,吴叡,1,2359
100332.png,日,唐代石刻篆文,1,2359
100334.png,日,李阳冰,1,2359
100335.png,日,古文四声韵,1,2359
100339.png,日,汗简,1,2359
100342.png,日,集篆古文韵海,1,2359
100345.png,日,石鼓文,1,2359
100349.png,日,马王堆帛书,1,2359
100350.png,日,吴昌硕,1,2359
100351.png,日,吴让之,1,2359
100353.png,日,徐三庚,1,2359
100354.png,日,杨沂孙,1,2359
100355.png,日,王澍,1,2359
100356.png,日,赵之谦,1,2359
100357.png,日,邓琰,1,2359
100358.png,日,黄士陵,1,2359
100359.png,日,三体石经,1,2359
102414.png,是,篆刻,1,2392
102417.png,是,说文解字,1,2392
102418.png,是,吴叡,1,2392
102419.png,是,李阳冰,1,2392
102421.png,是,三体阴符经,1,2392
102422.png,是,古文四声韵,1,2392
102424.png,是,汗简,1,2392
102426.png,是,隶释 隶续,1,2392
102427.png,是,集古文韵上声韵第三,1,2392
102430.png,是,集篆古文韵海,1,2392
102435.png,是,石鼓文,1,2392
102438.png,是,吴大澂,1,2392
102439.png,是,吴昌硕,1,2392
102440.png,是,吴让之,1,2392
102442.png,是,徐三庚,1,2392
102443.png,是,杨沂孙,1,2392
102444.png,是,永瑆,1,2392
102445.png,是,王澍,1,2392
102447.png,是,赵之谦,1,2392
102448.png,是,邓琰,1,2392
102449.png,是,黄士陵,1,2392
102450.png,是,春秋僖公石经,1,2392
10400.png,事,说文解字,1,223
10401.png,事,吴叡,1,223
10403.png,事,唐代石刻篆文,1,223
10405.png,事,古文四声韵,1,223
10407.png,事,隶释 隶续,1,223
10408.png,事,集篆古文韵海,1,223
10418.png,事,吴大澂,1,223
10419.png,事,吴昌硕,1,223
10420.png,事,吴让之,1,223
10423.png,事,徐三庚,1,223
10424.png,事,赵之谦,1,223
10425.png,事,邓琰,1,223
10426.png,事,黄士陵,1,223
10427.png,事,李斯,1,223
10429.png,事,三体石经,1,223
106058.png,有,吴叡,1,2478
106059.png,有,唐代石刻篆文,1,2478
106063.png,有,李阳冰,1,2478
106066.png,有,三体阴符经,1,2478
106067.png,有,古文四声韵,1,2478
106068.png,有,汗简,1,2478
106070.png,有,集古文韵上声韵第三,1,2478
106071.png,有,集篆古文韵海,1,2478
106075.png,有,马王堆帛书,1,2478
106077.png,有,吴昌硕,1,2478
106078.png,有,吴让之,1,2478
106080.png,有,徐三庚,1,2478
106081.png,有,杨沂孙,1,2478
106082.png,有,永瑆,1,2478
106083.png,有,王澍,1,2478
