image_path,calligrapher,script,character,calligrapher_id,script_id,character_id,glyph_id,aug,std_path,source,src_image_path,old_50k_id
data/50k/imgs/000000.png,王献之,行,㑺,591,3,7,21085,,data/50k/std/000000.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/77.png,000000
data/50k/imgs/000001.png,郑板桥,行,㗛,842,3,18,21096,,data/50k/std/000001.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/204.png,000001
data/50k/imgs/000002.png,苏轼,楷,㝡,703,0,27,27,,data/50k/std/000002.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/363.png,000002
data/50k/imgs/000003.png,智永,楷,㝡,377,0,27,27,,data/50k/std/000003.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/365.png,000003
data/50k/imgs/000004.png,颜真卿,行,㝡,956,3,27,21105,,data/50k/std/000004.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/377.png,000004
data/50k/imgs/000005.png,赵之谦,楷,㝱,795,0,29,29,,data/50k/std/000005.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/409.png,000005
data/50k/imgs/000006.png,褚遂良,楷,㱕,760,0,71,71,,data/50k/std/000006.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/1565.png,000006
data/50k/imgs/000007.png,米芾,楷,㱕,672,0,71,71,,data/50k/std/000007.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/1566.png,000007
data/50k/imgs/000008.png,邓石如,隶,㱕,828,4,71,28175,,data/50k/std/000008.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/1570.png,000008
data/50k/imgs/000009.png,王羲之,行,㿃,601,3,85,21163,,data/50k/std/000009.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/1731.png,000009
data/50k/imgs/000010.png,薛稷,楷,䟽,742,0,126,126,,data/50k/std/000010.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/2259.png,000010
data/50k/imgs/000011.png,赵佶,楷,䟽,797,0,126,126,,data/50k/std/000011.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/2260.png,000011
data/50k/imgs/000012.png,祝允明,楷,䟽,644,0,126,126,,data/50k/std/000012.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/2263.png,000012
data/50k/imgs/000013.png,智永,楷,䟽,377,0,126,126,,data/50k/std/000013.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/2264.png,000013
data/50k/imgs/000014.png,文徵明,行,䟽,365,3,126,21204,,data/50k/std/000014.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/2267.png,000014
data/50k/imgs/000015.png,文徵明,行,䟽,365,3,126,21204,,data/50k/std/000015.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/235132.png,000015
data/50k/imgs/000016.png,王羲之,行,䟽,601,3,126,21204,,data/50k/std/000016.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/2269.png,000016
data/50k/imgs/000017.png,王铎,行,䟽,612,3,126,21204,,data/50k/std/000017.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/2272.png,000017
data/50k/imgs/000018.png,颜真卿,行,一,956,3,157,21235,,data/50k/std/000018.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3073.png,000018
data/50k/imgs/000019.png,邓石如,隶,一,828,4,157,28261,,data/50k/std/000019.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3124.png,000019
data/50k/imgs/000020.png,王羲之,行,一,601,3,157,21235,,data/50k/std/000020.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3084.png,000020
data/50k/imgs/000021.png,王羲之,行,一,601,3,157,21235,,data/50k/std/000021.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3086.png,000021
data/50k/imgs/000022.png,王羲之,行,一,601,3,157,21235,,data/50k/std/000022.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3087.png,000022
data/50k/imgs/000023.png,王羲之,行,一,601,3,157,21235,,data/50k/std/000023.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3088.png,000023
data/50k/imgs/000024.png,王羲之,行,一,601,3,157,21235,,data/50k/std/000024.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/235458.png,000024
data/50k/imgs/000025.png,米芾,行,一,672,3,157,21235,,data/50k/std/000025.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3074.png,000025
data/50k/imgs/000026.png,米芾,行,一,672,3,157,21235,,data/50k/std/000026.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3075.png,000026
data/50k/imgs/000027.png,米芾,隶,一,672,4,157,28261,,data/50k/std/000027.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3107.png,000027
data/50k/imgs/000028.png,米芾,行,一,672,3,157,21235,,data/50k/std/000028.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/235455.png,000028
data/50k/imgs/000029.png,苏轼,行,一,703,3,157,21235,,data/50k/std/000029.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3077.png,000029
data/50k/imgs/000030.png,文徵明,行,一,365,3,157,21235,,data/50k/std/000030.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3083.png,000030
data/50k/imgs/000031.png,赵之谦,隶,一,795,4,157,28261,,data/50k/std/000031.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3123.png,000031
data/50k/imgs/000032.png,金农,隶,一,855,4,157,28261,,data/50k/std/000032.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3126.png,000032
data/50k/imgs/000033.png,孙过庭,行,丁,235,3,158,21236,,data/50k/std/000033.png,final_imgs_fame_v8,data/fame-kxl-tj-px60/imgs/3229.png,000033
