image_path,calligrapher,script,character,calligrapher_id,script_id,character_id,glyph_id,aug
data/imgs/final_imgs_fame_v8/76.png,于右任,楷,㑺,39,0,7,7,
data/imgs/fame3-sym/900000.png,于右任,楷,㑺,39,0,7,7,tp
data/imgs/fame3-sym/1800000.png,于右任,楷,㑺,39,0,7,7,tn
data/imgs/final_imgs_fame_v8/77.png,王献之,行,㑺,591,3,7,21085,
data/imgs/fame3-sym/900001.png,王献之,行,㑺,591,3,7,21085,tp
data/imgs/fame3-sym/1800001.png,王献之,行,㑺,591,3,7,21085,tn
data/imgs/final_imgs_fame_v8/190.png,智永,楷,㗛,377,0,18,18,
data/imgs/fame3-sym/900002.png,智永,楷,㗛,377,0,18,18,tp
data/imgs/fame3-sym/1800002.png,智永,楷,㗛,377,0,18,18,tn
data/imgs/final_imgs_fame_v8/204.png,郑板桥,行,㗛,842,3,18,21096,
data/imgs/fame3-sym/900003.png,郑板桥,行,㗛,842,3,18,21096,tp
data/imgs/fame3-sym/1800003.png,郑板桥,行,㗛,842,3,18,21096,tn
data/imgs/final_imgs_fame_v8/205.png,吴昌硕,行,㗛,180,3,18,21096,
data/imgs/fame3-sym/900004.png,吴昌硕,行,㗛,180,3,18,21096,tp
data/imgs/fame3-sym/1800004.png,吴昌硕,行,㗛,180,3,18,21096,tn
data/imgs/final_imgs_fame_v8/363.png,苏轼,楷,㝡,703,0,27,27,
data/imgs/fame3-sym/900005.png,苏轼,楷,㝡,703,0,27,27,tp
data/imgs/fame3-sym/1800005.png,苏轼,楷,㝡,703,0,27,27,tn
data/imgs/final_imgs_fame_v8/365.png,智永,楷,㝡,377,0,27,27,
data/imgs/fame3-sym/900006.png,智永,楷,㝡,377,0,27,27,tp
data/imgs/fame3-sym/1800006.png,智永,楷,㝡,377,0,27,27,tn
data/imgs/final_imgs_fame_v8/377.png,颜真卿,行,㝡,956,3,27,21105,
data/imgs/fame3-sym/900007.png,颜真卿,行,㝡,956,3,27,21105,tp
data/imgs/fame3-sym/1800007.png,颜真卿,行,㝡,956,3,27,21105,tn
data/imgs/final_imgs_fame_v8/409.png,赵之谦,楷,㝱,795,0,29,29,
data/imgs/fame3-sym/900008.png,赵之谦,楷,㝱,795,0,29,29,tp
