image_path,calligrapher,script,character,calligrapher_id,script_id,character_id,glyph_id,aug,std_path,source
data/fame-kxl-tj-px60/imgs/77.png,王献之,行,㑺,591,3,7,21085,,data/fame-kxl-tj-px60/std/77.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/204.png,郑板桥,行,㗛,842,3,18,21096,,data/fame-kxl-tj-px60/std/204.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/363.png,苏轼,楷,㝡,703,0,27,27,,data/fame-kxl-tj-px60/std/363.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/365.png,智永,楷,㝡,377,0,27,27,,data/fame-kxl-tj-px60/std/365.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/377.png,颜真卿,行,㝡,956,3,27,21105,,data/fame-kxl-tj-px60/std/377.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/409.png,赵之谦,楷,㝱,795,0,29,29,,data/fame-kxl-tj-px60/std/409.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/1565.png,褚遂良,楷,㱕,760,0,71,71,,data/fame-kxl-tj-px60/std/1565.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/1566.png,米芾,楷,㱕,672,0,71,71,,data/fame-kxl-tj-px60/std/1566.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/1570.png,邓石如,隶,㱕,828,4,71,28175,,data/fame-kxl-tj-px60/std/1570.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/1731.png,王羲之,行,㿃,601,3,85,21163,,data/fame-kxl-tj-px60/std/1731.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/2259.png,薛稷,楷,䟽,742,0,126,126,,data/fame-kxl-tj-px60/std/2259.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/2260.png,赵佶,楷,䟽,797,0,126,126,,data/fame-kxl-tj-px60/std/2260.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/2263.png,祝允明,楷,䟽,644,0,126,126,,data/fame-kxl-tj-px60/std/2263.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/2264.png,智永,楷,䟽,377,0,126,126,,data/fame-kxl-tj-px60/std/2264.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/2267.png,文徵明,行,䟽,365,3,126,21204,,data/fame-kxl-tj-px60/std/2267.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/235132.png,文徵明,行,䟽,365,3,126,21204,,data/fame-kxl-tj-px60/std/235132.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/2269.png,王羲之,行,䟽,601,3,126,21204,,data/fame-kxl-tj-px60/std/2269.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/2272.png,王铎,行,䟽,612,3,126,21204,,data/fame-kxl-tj-px60/std/2272.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/3073.png,颜真卿,行,一,956,3,157,21235,,data/fame-kxl-tj-px60/std/3073.png,final_imgs_fame_v8
data/fame-kxl-tj-px60/imgs/3124.png,邓石如,隶,一,828,4,157,28261,,data/fame-kxl-tj-px60/std/3124.png,final_imgs_fame_v8
