image_path,calligrapher,script,character,calligrapher_id,script_id,character_id,glyph_id
final_images/235458.png,王羲之,行,一,601,3,157,21235
final_images/235597.png,王循,行,七,575,3,160,21238
final_images/235606.png,碑刻,隶,七,642,4,160,28264
final_images/235736.png,释怀仁集王羲之,行,三,853,3,163,21241
final_images/235950.png,others,隶,下,0,4,165,28269
final_images/236649.png,柳公权,楷,丘,461,0,175,175
final_images/236792.png,others,隶,丞,0,4,179,28283
final_images/237610.png,王献之,草,之,591,2,202,14254
final_images/237686.png,米芾,行,乍,672,3,203,21281
final_images/238332.png,碑刻,楷,乳,642,0,216,216
final_images/238486.png,others,楷,事,0,0,223,223
final_images/238827.png,三体石经,篆,于,22,1,225,7251
final_images/238902.png,古文四声韵,篆,云,130,1,227,7253
final_images/239099.png,李隆基,隶,五,428,4,230,28334
final_images/239209.png,说文解字,篆,亙,778,1,234,7260
final_images/239590.png,赵孟坚,行,亦,799,3,242,21320
final_images/239844.png,others,楷,人,0,0,253,253
final_images/240029.png,宋克,行,人,243,3,253,21331
final_images/240067.png,others,隶,人,0,4,253,28357
final_images/240670.png,崔瑗,行,以,280,3,278,21356
final_images/240772.png,李阳冰,篆,任,426,1,284,7310
final_images/240776.png,李斯,篆,任,412,1,284,7310
final_images/240874.png,篆刻,篆,伍,665,1,291,7317
final_images/241269.png,古文四声韵,篆,佐,130,1,316,7342
final_images/241634.png,怀素,草,使,346,2,339,14391
final_images/241666.png,篆刻,篆,侃,665,1,340,7366
final_images/241730.png,欧阳询,行,來,479,3,341,21419
final_images/241742.png,others,隶,來,0,4,341,28445
final_images/241947.png,赵孟𫖯,草,侯,801,2,356,14408
final_images/242022.png,颜真卿,楷,便,956,0,360,360
final_images/242163.png,赵孟𫖯,楷,俛,801,0,372,372
final_images/242666.png,唐,楷,偃,197,0,414,414
final_images/242677.png,米芾,行,偃,672,3,414,21492
final_images/242696.png,篆刻,篆,假,665,1,416,7442
final_images/242710.png,释怀仁集王羲之,行,偈,853,3,417,21495
final_images/242757.png,鲜于枢,草,停,983,2,423,14475
final_images/242800.png,篆刻,篆,偶,665,1,430,7456
final_images/243090.png,吴昌硕,篆,像,180,1,456,7482
final_images/243345.png,篆刻,篆,兀,665,1,490,7516
final_images/243526.png,武则天,草,充,483,2,494,14546
final_images/244106.png,孙过庭,草,內,235,2,513,14565
final_images/244826.png,篆刻,篆,兹,665,1,528,7554
final_images/244963.png,金文,篆,内,857,1,534,7560
final_images/245628.png,碑刻,楷,凶,642,0,583,583
final_images/245862.png,篆刻,篆,分,665,1,591,7617
final_images/245874.png,王羲之,草,分,601,2,591,14643
final_images/246012.png,刘炟,草,列,97,2,597,14649
final_images/246175.png,others,隶,利,0,4,604,28708
final_images/246941.png,陆柬之,行,勁,892,3,662,21740
final_images/247057.png,徐三庚,篆,動,334,1,671,7697
final_images/247191.png,篆刻,篆,勤,665,1,681,7707
final_images/247212.png,李邕,楷,勳,424,0,683,683
final_images/247214.png,others,楷,勳,0,0,683,683
final_images/247253.png,古文四声韵,篆,勺,130,1,687,7713
final_images/247470.png,郑道昭,楷,化,847,0,701,701
final_images/247582.png,篆刻,篆,匚,665,1,704,7730
final_images/247588.png,赵孟𫖯,草,匜,801,2,705,14757
final_images/247616.png,others,楷,匡,0,0,707,707
final_images/247804.png,汗简,篆,十,504,1,721,7747
final_images/247932.png,篆刻,篆,卅,665,1,724,7750
final_images/247978.png,集篆古文韵海,篆,升,933,1,725,7751
final_images/248309.png,篆刻,篆,博,665,1,737,7763
final_images/248613.png,邓琰,篆,危,827,1,751,7777
final_images/248990.png,郑簠,隶,原,844,4,770,28874
final_images/249046.png,集篆古文韵海,篆,厨,933,1,776,7802
final_images/249506.png,莫友芝,篆,及,713,1,791,7817
final_images/249606.png,康里巎巎,草,反,292,2,794,14846
final_images/249611.png,陆柬之,行,反,892,3,794,21872
final_images/249817.png,others,隶,受,0,4,798,28902
final_images/249934.png,王羲之,草,口,601,2,806,14858
final_images/250029.png,others,隶,古,0,4,807,28911
final_images/250103.png,others,隶,叩,0,4,811,28915
final_images/250117.png,集篆古文韵海,篆,只,933,1,812,7838
final_images/250577.png,朱耷,行,吁,399,3,824,21902
final_images/250683.png,高闲,草,合,976,2,827,14879
final_images/251439.png,碑刻,隶,吴,642,4,849,28953
final_images/251673.png,文徵明,行,呉,365,3,861,21939
final_images/252251.png,皇象,草,哀,628,2,896,14948
final_images/252705.png,李邕,行,啟,424,3,933,22011
final_images/252874.png,篆刻,篆,喜,665,1,945,7971
final_images/252984.png,杨沂孙,篆,喬,447,1,953,7979
final_images/253006.png,集篆古文韵海,篆,單,933,1,955,7981
final_images/253555.png,others,篆,四,0,1,1010,8036
final_images/253742.png,篆刻,篆,固,665,1,1019,8045
final_images/253962.png,柳公权,楷,團,461,0,1033,1033
final_images/254357.png,篆刻,篆,坪,665,1,1059,8085
final_images/254398.png,篆刻,篆,垂,665,1,1063,8089
final_images/254434.png,古文四声韵,篆,垕,130,1,1067,8093
final_images/254707.png,others,隶,堂,0,4,1087,29191
final_images/254951.png,others,楷,塵,0,0,1114,1114
final_images/254997.png,碑刻,隶,墅,642,4,1120,29224
final_images/256089.png,三体石经,篆,大,22,1,1184,8210
final_images/256096.png,桓温,草,大,465,2,1184,15236
final_images/256266.png,古文四声韵,篆,天,130,1,1186,8212
final_images/256309.png,others,隶,天,0,4,1186,29290
final_images/256477.png,集古文韵上声韵第三,篆,夭,925,1,1190,8216
final_images/256565.png,苏轼,行,夲,703,3,1193,22271
final_images/256691.png,篆刻,篆,奇,665,1,1200,8226
final_images/256855.png,倪元璐,草,奔,62,2,1207,15259
final_images/256869.png,孙过庭,草,奕,235,2,1208,15260
