img_id,verdict,min_margin,glyph_ratio,m_top,m_bottom,m_left,m_right,t,b,l,r
288442,touch,0,0.4293576388888889,0,133,0,0,0,0,13,18
291656,touch,0,0.3563858695652174,0,169,0,0,0,0,14,12
291735,touch,0,0.33288211633663367,7,0,9,0,0,0,27,27
290576,touch,0,0.31805519979508196,0,8,93,21,0,0,0,12
292387,touch,0,0.40360278925619836,0,0,0,0,14,0,0,0
293353,touch,0,0.29045181860133407,0,0,0,163,24,35,0,14
293997,touch,0,0.35920678827751196,0,0,0,169,19,28,0,0
119806,touch,0,0.13462936046511628,92,0,0,0,0,0,19,22
283841,touch,0,0.2996551238738739,7,15,46,0,17,17,0,0
121896,touch,0,0.18402379587155962,0,0,181,0,21,17,0,0
122506,touch,0,0.3343362894144144,12,0,78,0,17,17,0,0
122573,touch,0,0.4152792008196721,0,0,0,0,12,0,0,0
123137,touch,0,0.15760216346153846,0,0,225,0,38,36,0,0
140390,touch,0,0.2090016592920354,18,3,0,11,0,0,15,15
140677,touch,0,0.4231770833333333,0,147,0,0,0,0,14,20
140679,touch,0,0.3208950109649123,0,0,0,0,15,13,0,0
141106,touch,0,0.38183191872427985,0,0,0,0,0,0,0,13
141276,touch,0,0.34546810165975106,0,0,0,0,0,0,0,15
292536,touch,0,0.25661705280172414,19,7,16,0,12,12,0,0
141828,touch,0,0.46849385245901637,0,0,0,0,0,0,12,0
142955,touch,0,0.4002604166666667,0,59,0,0,0,0,15,16
147654,touch,0,0.28775460379464285,50,34,20,0,0,0,16,16
147837,touch,0,0.151130850456621,10,25,0,0,18,19,0,0
148399,touch,0,0.4082486551105798,0,0,0,0,0,17,18,0
148458,touch,0,0.1727456701807229,12,3,0,0,0,0,45,45
149124,touch,0,0.329736328125,0,0,0,0,16,0,0,0
150531,touch,0,0.17618413677130046,9,10,83,0,0,0,16,17
296225,touch,0,0.23487103174603174,0,97,27,24,0,0,33,34
151104,touch,0,0.34837962962962965,0,0,0,86,21,19,0,0
151754,touch,0,0.11766493055555556,48,0,6,123,38,38,0,0
153458,touch,0,0.3118583937198068,0,0,0,103,23,26,0,0
152613,touch,0,0.2988013698630137,7,0,13,119,18,19,0,0
153113,touch,0,0.17255731441048036,5,4,7,0,13,14,0,0
154205,touch,0,0.3861164647577093,0,0,0,144,14,15,0,0
154408,touch,0,0.16706569220430106,0,6,4,0,0,0,35,35
