image_path,canny_path,skeleton_path,calligrapher,script,character,calligrapher_id,script_id,character_id
images/沈尹默/行/寄/28419.png,canny/沈尹默/行/寄/28419.png,skeleton/沈尹默/行/寄/28419.png,沈尹默,行,寄,1227,9,2177
images/吴昌硕/行/蔬/05295.png,canny/吴昌硕/行/蔬/05295.png,skeleton/吴昌硕/行/蔬/05295.png,吴昌硕,行,蔬,650,9,5848
images/王羲之/行/流/34410.png,canny/王羲之/行/流/34410.png,skeleton/王羲之/行/流/34410.png,王羲之,行,流,1353,9,3863
images/蔡襄/草/寜/44997.png,canny/蔡襄/草/寜/44997.png,skeleton/蔡襄/草/寜/44997.png,蔡襄,草,寜,1577,8,2194
images/黄庭坚/楷/聲/66785.png,canny/黄庭坚/楷/聲/66785.png,skeleton/黄庭坚/楷/聲/66785.png,黄庭坚,楷,聲,1988,3,5473
images/苏轼/行/日/42359.png,canny/苏轼/行/日/42359.png,skeleton/苏轼/行/日/42359.png,苏轼,行,日,1527,9,3191
images/黄易/隶/羡/271431.png,canny/黄易/隶/羡/271431.png,skeleton/黄易/隶/羡/271431.png,黄易,隶,羡,1990,11,5392
images/褚遂良/楷/攻/47266.png,canny/褚遂良/楷/攻/47266.png,skeleton/褚遂良/楷/攻/47266.png,褚遂良,楷,攻,1606,3,3095
images/颜真卿/六体/提/91422.png,canny/颜真卿/六体/提/91422.png,skeleton/颜真卿/六体/提/91422.png,颜真卿,六体,提,1930,0,2995
images/王铎/隶/行/36148.png,canny/王铎/隶/行/36148.png,skeleton/王铎/隶/行/36148.png,王铎,隶,行,1366,11,6040
images/怀素/草/晝/12917.png,canny/怀素/草/晝/12917.png,skeleton/怀素/草/晝/12917.png,怀素,草,晝,949,8,3242
images/怀仁/楷/行/12171.png,canny/怀仁/楷/行/12171.png,skeleton/怀仁/楷/行/12171.png,怀仁,楷,行,948,3,6040
images/颜真卿/楷/巢/61982.png,canny/颜真卿/楷/巢/61982.png,skeleton/颜真卿/楷/巢/61982.png,颜真卿,楷,巢,1930,3,2349
images/米芾/行/盡/39853.png,canny/米芾/行/盡/39853.png,skeleton/米芾/行/盡/39853.png,米芾,行,盡,1471,9,4655
images/李阳冰/篆/授/21362.png,canny/李阳冰/篆/授/21362.png,skeleton/李阳冰/篆/授/21362.png,李阳冰,篆,授,1095,7,2967
images/孙过庭/草/質/08172.png,canny/孙过庭/草/質/08172.png,skeleton/孙过庭/草/質/08172.png,孙过庭,草,質,754,8,6470
images/颜真卿/楷/江/62502.png,canny/颜真卿/楷/江/62502.png,skeleton/颜真卿/楷/江/62502.png,颜真卿,楷,江,1930,3,3752
images/赵之谦/篆/縣/49110.png,canny/赵之谦/篆/縣/49110.png,skeleton/赵之谦/篆/縣/49110.png,赵之谦,篆,縣,1663,7,5271
images/欧阳询/楷/惜/25514.png,canny/欧阳询/楷/惜/25514.png,skeleton/欧阳询/楷/惜/25514.png,欧阳询,楷,惜,1167,3,2691
images/欧阳询/六体/仲/79361.png,canny/欧阳询/六体/仲/79361.png,skeleton/欧阳询/六体/仲/79361.png,欧阳询,六体,仲,1167,0,992
images/文徵明/行/蓋/15559.png,canny/文徵明/行/蓋/15559.png,skeleton/文徵明/行/蓋/15559.png,文徵明,行,蓋,979,9,5827
images/吴昌硕/六体/峰/72197.png,canny/吴昌硕/六体/峰/72197.png,skeleton/吴昌硕/六体/峰/72197.png,吴昌硕,六体,峰,650,0,2303
images/李阳冰/篆/陶/22149.png,canny/李阳冰/篆/陶/22149.png,skeleton/李阳冰/篆/陶/22149.png,李阳冰,篆,陶,1095,7,7177
images/唐寅/行/青/06835.png,canny/唐寅/行/青/06835.png,skeleton/唐寅/行/青/06835.png,唐寅,行,青,682,9,7287
images/鲜于枢/草/簾/64621.png,canny/鲜于枢/草/簾/64621.png,skeleton/鲜于枢/草/簾/64621.png,鲜于枢,草,簾,1976,8,5091
images/鲜于枢/草/綵/64632.png,canny/鲜于枢/草/綵/64632.png,skeleton/鲜于枢/草/綵/64632.png,鲜于枢,草,綵,1976,8,5225
images/柳公权/楷/巽/23711.png,canny/柳公权/楷/巽/23711.png,skeleton/柳公权/楷/巽/23711.png,柳公权,楷,巽,1142,3,2365
images/柳公权/楷/險/24411.png,canny/柳公权/楷/險/24411.png,skeleton/柳公权/楷/險/24411.png,柳公权,楷,險,1142,3,7206
images/祝允明/楷/颻/38591.png,canny/祝允明/楷/颻/38591.png,skeleton/祝允明/楷/颻/38591.png,祝允明,楷,颻,1429,3,7401
images/钟繇/行/傷/58855.png,canny/钟繇/行/傷/58855.png,skeleton/钟繇/行/傷/58855.png,钟繇,行,傷,1785,9,1165
images/智永/楷/傍/16103.png,canny/智永/楷/傍/16103.png,skeleton/智永/楷/傍/16103.png,智永,楷,傍,1015,3,1155
images/欧阳询/楷/福/26134.png,canny/欧阳询/楷/福/26134.png,skeleton/欧阳询/楷/福/26134.png,欧阳询,楷,福,1167,3,4854
images/赵之谦/楷/旅/48806.png,canny/赵之谦/楷/旅/48806.png,skeleton/赵之谦/楷/旅/48806.png,赵之谦,楷,旅,1663,3,3172
images/王铎/草/隨/36277.png,canny/王铎/草/隨/36277.png,skeleton/王铎/草/隨/36277.png,王铎,草,隨,1366,8,7204
images/杨凝式/楷/猥/112459.png,canny/杨凝式/楷/猥/112459.png,skeleton/杨凝式/楷/猥/112459.png,杨凝式,楷,猥,1114,3,4335
images/王铎/行/鐵/36250.png,canny/王铎/行/鐵/36250.png,skeleton/王铎/行/鐵/36250.png,王铎,行,鐵,1366,9,7048
images/王铎/草/恨/35752.png,canny/王铎/草/恨/35752.png,skeleton/王铎/草/恨/35752.png,王铎,草,恨,1366,8,2640
images/王羲之/六体/逃/367872.png,canny/王羲之/六体/逃/367872.png,skeleton/王羲之/六体/逃/367872.png,王羲之,六体,逃,1353,0,6715
images/王铎/行/誰/36169.png,canny/王铎/行/誰/36169.png,skeleton/王铎/行/誰/36169.png,王铎,行,誰,1366,9,6259
images/邓石如/六体/祠/88582.png,canny/邓石如/六体/祠/88582.png,skeleton/邓石如/六体/祠/88582.png,邓石如,六体,祠,1718,0,4833
images/赵之谦/隶/接/48768.png,canny/赵之谦/隶/接/48768.png,skeleton/赵之谦/隶/接/48768.png,赵之谦,隶,接,1663,11,2982
images/文徵明/草/浩/15175.png,canny/文徵明/草/浩/15175.png,skeleton/文徵明/草/浩/15175.png,文徵明,草,浩,979,8,3880
images/米芾/行/韵/40532.png,canny/米芾/行/韵/40532.png,skeleton/米芾/行/韵/40532.png,米芾,行,韵,1471,9,7336
images/唐寅/行/對/06417.png,canny/唐寅/行/對/06417.png,skeleton/唐寅/行/對/06417.png,唐寅,行,對,682,9,2230
images/李斯/篆/斯/19301.png,canny/李斯/篆/斯/19301.png,skeleton/李斯/篆/斯/19301.png,李斯,篆,斯,1073,7,3159
images/虞世南/楷/由/46381.png,canny/虞世南/楷/由/46381.png,skeleton/虞世南/楷/由/46381.png,虞世南,楷,由,1588,3,4495
images/黄庭坚/行/州/66069.png,canny/黄庭坚/行/州/66069.png,skeleton/黄庭坚/行/州/66069.png,黄庭坚,行,州,1988,9,2345
images/苏轼/行/破/42854.png,canny/苏轼/行/破/42854.png,skeleton/苏轼/行/破/42854.png,苏轼,行,破,1527,9,4769
images/颜真卿/楷/恒/62111.png,canny/颜真卿/楷/恒/62111.png,skeleton/颜真卿/楷/恒/62111.png,颜真卿,楷,恒,1930,3,2630
images/李阳冰/篆/天/21117.png,canny/李阳冰/篆/天/21117.png,skeleton/李阳冰/篆/天/21117.png,李阳冰,篆,天,1095,7,1949
images/怀素/草/邑/13573.png,canny/怀素/草/邑/13573.png,skeleton/怀素/草/邑/13573.png,怀素,草,邑,949,8,6801
images/孙过庭/六体/鄙/73530.png,canny/孙过庭/六体/鄙/73530.png,skeleton/孙过庭/六体/鄙/73530.png,孙过庭,六体,鄙,754,0,6859
images/柳公权/行/本/23924.png,canny/柳公权/行/本/23924.png,skeleton/柳公权/行/本/23924.png,柳公权,行,本,1142,9,3332
images/智永/楷/頗/17933.png,canny/智永/楷/頗/17933.png,skeleton/智永/楷/頗/17933.png,智永,楷,頗,1015,3,7355
images/李阳冰/篆/獨/21638.png,canny/李阳冰/篆/獨/21638.png,skeleton/李阳冰/篆/獨/21638.png,李阳冰,篆,獨,1095,7,4350
images/康里巎巎/草/暢/09433.png,canny/康里巎巎/草/暢/09433.png,skeleton/康里巎巎/草/暢/09433.png,康里巎巎,草,暢,844,8,3274
images/怀素/草/官/12618.png,canny/怀素/草/官/12618.png,skeleton/怀素/草/官/12618.png,怀素,草,官,949,8,2149
